Descrição da Taxa;Dias Úteis;Dias Corridos;Preço/Taxa
DI x pré;1;3;14,15
DI x pré;5;7;14,15
DI x pré;6;10;14,15
DI x pré;7;11;14,15
DI x pré;8;12;14,15
DI x pré;10;14;14,15
DI x pré;14;20;14,15
DI x pré;15;21;14,15
DI x pré;18;26;14,15
DI x pré;19;27;14,15
DI x pré;20;28;14,15
DI x pré;21;31;14,15
DI x pré;28;40;14,11
DI x pré;31;45;14,10
DI x pré;32;46;14,09
DI x pré;33;47;14,09
DI x pré;35;49;14,08
DI x pré;39;55;14,07
DI x pré;40;56;14,07
DI x pré;41;59;14,07
DI x pré;42;60;14,07
DI x pré;51;74;14,04
DI x pré;52;75;14,04
DI x pré;53;76;14,04
DI x pré;54;77;14,03
DI x pré;56;81;14,03
DI x pré;60;87;14,02
DI x pré;62;89;14,02
DI x pré;63;90;14,02
DI x pré;71;103;14,00
DI x pré;72;104;14,00
DI x pré;73;105;14,00
DI x pré;75;109;14,00
DI x pré;76;110;14,00
DI x pré;81;117;13,99
DI x pré;82;118;13,99
DI x pré;83;119;13,99
DI x pré;84;123;13,99
DI x pré;93;136;13,99
DI x pré;94;137;13,99
DI x pré;95;138;13,99
DI x pré;96;139;13,99
DI x pré;102;150;13,99
DI x pré;103;151;13,99
DI x pré;113;165;13,99
DI x pré;114;166;13,99
DI x pré;115;167;13,99
DI x pré;116;168;13,99
DI x pré;121;178;14,00
DI x pré;122;179;14,00
DI x pré;123;180;14,00
DI x pré;125;185;14,00
DI x pré;134;196;14,01
DI x pré;144;210;14,02
DI x pré;145;213;14,02
DI x pré;152;224;14,03
DI x pré;153;227;14,04
DI x pré;154;228;14,04
DI x pré;155;229;14,04
DI x pré;160;236;14,04
DI x pré;161;237;14,05
DI x pré;162;238;14,05
DI x pré;163;241;14,05
DI x pré;173;255;14,05
DI x pré;177;259;14,06
DI x pré;178;262;14,06
DI x pré;182;269;14,06
DI x pré;183;270;14,06
DI x pré;184;271;14,06
DI x pré;185;272;14,06
DI x pré;194;285;14,07
DI x pré;196;287;14,07
DI x pré;203;299;14,07
DI x pré;204;300;14,07
DI x pré;205;301;14,07
DI x pré;206;304;14,07
DI x pré;216;318;14,07
DI x pré;219;321;14,07
DI x pré;225;332;14,08
DI x pré;226;333;14,08
DI x pré;237;348;14,08
DI x pré;239;350;14,08
DI x pré;245;360;14,09
DI x pré;246;361;14,09
DI x pré;248;363;14,09
DI x pré;258;377;14,09
DI x pré;267;390;14,09
DI x pré;270;395;14,09
DI x pré;279;406;14,09
DI x pré;280;409;14,09
DI x pré;282;411;14,09
DI x pré;289;420;14,09
DI x pré;301;439;14,10
DI x pré;306;446;14,10
DI x pré;309;451;14,10
DI x pré;313;455;14,10
DI x pré;320;467;14,10
DI x pré;329;480;14,09
DI x pré;333;486;14,09
DI x pré;342;501;14,09
DI x pré;349;510;14,09
DI x pré;353;516;14,09
DI x pré;363;530;14,09
DI x pré;371;542;14,09
DI x pré;374;545;14,09
DI x pré;376;549;14,10
DI x pré;391;570;14,10
DI x pré;396;577;14,11
DI x pré;407;592;14,11
DI x pré;408;593;14,11
DI x pré;413;600;14,11
DI x pré;426;621;14,12
DI x pré;433;630;14,12
DI x pré;439;640;14,13
DI x pré;446;649;14,13
DI x pré;452;661;14,14
DI x pré;466;682;14,15
DI x pré;472;690;14,16
DI x pré;479;699;14,16
DI x pré;488;712;14,17
DI x pré;492;719;14,17
DI x pré;493;720;14,17
DI x pré;500;731;14,18
DI x pré;515;752;14,19
DI x pré;531;774;14,21
DI x pré;535;780;14,21
DI x pré;544;791;14,22
DI x pré;556;810;14,23
DI x pré;564;822;14,23
DI x pré;577;840;14,24
DI x pré;585;852;14,24
DI x pré;594;867;14,25
DI x pré;596;872;14,25
DI x pré;604;882;14,25
DI x pré;616;900;14,26
DI x pré;624;914;14,26
DI x pré;636;930;14,27
DI x pré;654;958;14,28
DI x pré;656;962;14,28
DI x pré;676;990;14,30
DI x pré;685;1004;14,30
DI x pré;697;1020;14,31
DI x pré;715;1047;14,32
DI x pré;718;1050;14,32
DI x pré;738;1081;14,34
DI x pré;748;1095;14,34
DI x pré;759;1110;14,34
DI x pré;770;1125;14,35
DI x pré;780;1139;14,35
DI x pré;781;1140;14,35
DI x pré;802;1172;14,36
DI x pré;812;1186;14,36
DI x pré;821;1200;14,36
DI x pré;834;1217;14,36
DI x pré;843;1232;14,36
DI x pré;853;1249;14,37
DI x pré;873;1279;14,38
DI x pré;905;1323;14,38
DI x pré;934;1368;14,38
DI x pré;964;1412;14,38
DI x pré;984;1440;14,38
DI x pré;996;1459;14,39
DI x pré;1029;1504;14,39
DI x pré;1053;1538;14,40
DI x pré;1062;1551;14,40
DI x pré;1095;1599;14,40
DI x pré;1116;1629;14,41
DI x pré;1125;1644;14,41
DI x pré;1157;1690;14,40
DI x pré;1177;1720;14,40
DI x pré;1186;1733;14,40
DI x pré;1215;1777;14,40
DI x pré;1227;1795;14,41
DI x pré;1232;1802;14,41
DI x pré;1238;1811;14,41
DI x pré;1247;1824;14,41
DI x pré;1280;1869;14,41
DI x pré;1291;1886;14,41
DI x pré;1303;1902;14,42
DI x pré;1313;1916;14,42
DI x pré;1346;1963;14,43
DI x pré;1377;2009;14,44
DI x pré;1406;2054;14,44
DI x pré;1469;2145;14,44
DI x pré;1479;2160;14,44
DI x pré;1533;2236;14,44
DI x pré;1595;2328;14,44
DI x pré;1629;2376;14,44
DI x pré;1660;2419;14,43
DI x pré;1720;2509;14,43
DI x pré;1729;2520;14,43
DI x pré;1784;2600;14,42
DI x pré;1847;2693;14,42
DI x pré;1880;2740;14,42
DI x pré;1912;2784;14,41
DI x pré;1970;2873;14,41
DI x pré;1975;2880;14,41
DI x pré;2035;2965;14,41
DI x pré;2098;3058;14,41
DI x pré;2128;3105;14,41
DI x pré;2158;3149;14,40
DI x pré;2219;3238;14,39
DI x pré;2221;3240;14,39
DI x pré;2284;3330;14,39
DI x pré;2347;3423;14,38
DI x pré;2377;3470;14,37
DI x pré;2409;3514;14,38
DI x pré;2465;3601;14,38
DI x pré;2468;3604;14,38
DI x pré;2533;3696;14,38
DI x pré;2599;3790;14,38
DI x pré;2630;3836;14,38
DI x pré;2661;3883;14,38
DI x pré;2713;3960;14,38
DI x pré;2720;3969;14,38
DI x pré;2785;4063;14,38
DI x pré;2847;4154;14,39
DI x pré;2879;4203;14,39
DI x pré;2909;4245;14,38
DI x pré;2960;4322;14,38
DI x pré;2970;4336;14,37
DI x pré;3034;4427;14,37
DI x pré;3096;4519;14,36
DI x pré;3130;4567;14,36
DI x pré;3161;4610;14,35
DI x pré;3207;4680;14,35
DI x pré;3221;4700;14,35
DI x pré;3285;4791;14,34
DI x pré;3348;4884;14,34
DI x pré;3381;4931;14,34
DI x pré;3411;4975;14,34
DI x pré;3457;5040;14,34
DI x pré;3473;5065;14,34
DI x pré;3538;5157;14,34
DI x pré;3601;5250;14,34
DI x pré;3631;5297;14,34
DI x pré;3663;5341;14,34
DI x pré;3702;5400;14,34
DI x pré;3722;5430;14,34
DI x pré;3787;5522;14,34
DI x pré;3829;5582;14,34
DI x pré;3853;5617;14,34
DI x pré;3915;5710;14,34
DI x pré;3973;5795;14,34
DI x pré;4038;5887;14,34
DI x pré;4104;5981;14,34
DI x pré;4164;6072;14,34
DI x pré;4225;6160;14,34
DI x pré;4290;6254;14,34
DI x pré;4352;6345;14,34
DI x pré;4414;6436;14,34
DI x pré;4475;6527;14,34
DI x pré;4539;6618;14,34
DI x pré;4602;6711;14,34
DI x pré;4667;6802;14,34
DI x pré;4725;6891;14,34
DI x pré;4790;6983;14,34
DI x pré;4913;7167;14,34
DI x pré;4936;7200;14,34
DI x pré;5039;7348;14,34
DI x pré;5164;7532;14,34
DI x pré;5288;7713;14,34
DI x pré;5416;7901;14,34
DI x pré;5540;8081;14,34
DI x pré;5664;8263;14,34
DI x pré;5789;8445;14,34
DI x pré;5916;8628;14,34
DI x pré;6040;8809;14,34
DI x pré;6171;9000;14,34
DI x pré;7229;10545;14,34
DI x pré;7407;10800;14,34
DI x pré;8546;12463;14,34
