Sub Classe,Ativo,Emissor,Fundo,Vencimento_final,KEY_STRICT
LFSN,LFSN1900008,BANCO SAFRA S.A.,FIRF GERAES,2027-01-08,LFSN | LFSN1900008 | BANCO SAFRA S.A. | FIRF GERAES | 2027-01-08
LFSN,LFSN1800HXO,BANCO SAFRA S.A.,FIRF GERAES,2026-11-06,LFSN | LFSN1800HXO | BANCO SAFRA S.A. | FIRF GERAES | 2026-11-06
LFSN,LFSN1900CR5,BANCO SAFRA S.A.,FIRF GERAES 30,2029-08-13,LFSN | LFSN1900CR5 | BANCO SAFRA S.A. | FIRF GERAES 30 | 2029-08-13
LFSN,LFSN19001BH,BANCO BTG PACTUAL S.A.,BH INFRA,2027-04-09,LFSN | LFSN19001BH | BANCO BTG PACTUAL S.A. | BH INFRA | 2027-04-09
LFSN,LFSN19006KN,BANCO BTG PACTUAL S.A.,FIRF GERAES,2028-05-31,LFSN | LFSN19006KN | BANCO BTG PACTUAL S.A. | FIRF GERAES | 2028-05-31
LFSN,LFSN19006KM,BANCO BTG PACTUAL S.A.,FIRF GERAES 30,2028-05-31,LFSN | LFSN19006KM | BANCO BTG PACTUAL S.A. | FIRF GERAES 30 | 2028-05-31
LFSN,LFSN19006KM,BANCO BTG PACTUAL S.A.,HORIZONTE FIM,2028-05-31,LFSN | LFSN19006KM | BANCO BTG PACTUAL S.A. | HORIZONTE FIM | 2028-05-31
LFSN,LFSN19006KM,BANCO BTG PACTUAL S.A.,MANACA INFRA,2028-05-31,LFSN | LFSN19006KM | BANCO BTG PACTUAL S.A. | MANACA INFRA | 2028-05-31
LFSN,LFSN1800DIG,BANCO BRADESCO S.A.,FIRF GERAES,2026-08-03,LFSN | LFSN1800DIG | BANCO BRADESCO S.A. | FIRF GERAES | 2026-08-03
LFSN,LFSN1900971,BANCO BMG S.A.,BH INFRA,2026-06-22,LFSN | LFSN1900971 | BANCO BMG S.A. | BH INFRA | 2026-06-22
LFSN,LFSN19009YU,BANCO BMG S.A.,BH INFRA,2026-06-26,LFSN | LFSN19009YU | BANCO BMG S.A. | BH INFRA | 2026-06-26
