Ativo,cod_Ativo_guess_norm,cod_Ativo_norm_match,Fundo,Fundo_final
LFT mar 30,LFTMAR30,,BBRASIL FIM,BBRASIL FIM
LFT set 28,LFTSET28,,BBRASIL FIM,BBRASIL FIM
LFT mar 29,LFTMAR29,,BBRASIL FIM,BBRASIL FIM
LFT set 29,LFTSET29,,BBRASIL FIM,BBRASIL FIM
LFT jun 30,LFTJUN30,,BH INFRA,BH INFRA
NTN-B28,NTNB28,,BH INFRA,BH INFRA
NTN-B30,NTNB30,,BH INFRA,BH INFRA
LFT mar 27,LFTMAR27,,BH INFRA,BH INFRA
NTN-B32,NTNB32,,BH INFRA,BH INFRA
LFT mar 27,LFTMAR27,,BORDEAUX INFRA,BORDEAUX INFRA
LFT set 29,LFTSET29,,BORDEAUX INFRA,BORDEAUX INFRA
LFT mar 30,LFTMAR30,,FIRF GERAES,FIRF GERAES
LFT jun 30,LFTJUN30,,FIRF GERAES,FIRF GERAES
LFT jun 31,LFTJUN31,,FIRF GERAES,FIRF GERAES
LFT set 27,LFTSET27,,FIRF GERAES,FIRF GERAES
LFT set 26,LFTSET26,,FIRF GERAES,FIRF GERAES
LFT mar 30,LFTMAR30,,FIRF GERAES 30,FIRF GERAES 30
LFT mar 26,LFTMAR26,,FIRF GERAES 30,FIRF GERAES 30
LFT set 30,LFTSET30,,GLOBAL BONDS,GLOBAL BONDS
LFT set 26,LFTSET26,,HORIZONTE FIM,HORIZONTE FIM
LFT mar 28,LFTMAR28,,HORIZONTE FIM,HORIZONTE FIM
LFT mar 27,LFTMAR27,,MANACA INFRA,MANACA INFRA
LFT jun 30,LFTJUN30,,MANACA INFRA,MANACA INFRA
LFT mar 30,LFTMAR30,,MANACA INFRA,MANACA INFRA
LFT mar 27,LFTMAR27,,TOPAZIO INFRA,TOPAZIO INFRA
LFT set 28,LFTSET28,,TOPAZIO INFRA,TOPAZIO INFRA
NTN-B26,NTNB26,,TOPAZIO INFRA,TOPAZIO INFRA
LF0025008NC,LF0025008NC,LF0025008NC,BBRASIL FIM,BBRASIL FIM
LF002400T6Q,LF002400T6Q,LF002400T6Q,TOPAZIO INFRA,TOPAZIO INFRA
Provisão,PROVISAO,,AF DEB INCENTIVADAS,AF DEB INCENTIVADAS
Provisão,PROVISAO,,ALFA HORIZON FIA,ALFA HORIZON FIA
Provisão,PROVISAO,,BBRASIL FIM,BBRASIL FIM
Provisão,PROVISAO,,BH INFRA,BH INFRA
Provisão,PROVISAO,,BORDEAUX INFRA,BORDEAUX INFRA
Provisão,PROVISAO,,FIA MINAS,FIA MINAS
Provisão,PROVISAO,,FIRF GERAES,FIRF GERAES
Provisão,PROVISAO,,FIRF GERAES 30,FIRF GERAES 30
Provisão,PROVISAO,,GLOBAL BONDS,GLOBAL BONDS
Provisão,PROVISAO,,HORIZONTE FIM,HORIZONTE FIM
Provisão,PROVISAO,,MANACA INFRA,MANACA INFRA
Provisão,PROVISAO,,MINAS DIVIDENDOS FIA,MINAS DIVIDENDOS FIA
Provisão,PROVISAO,,MINAS O.N.E. FIA,MINAS O.N.E. FIA
Provisão,PROVISAO,,ROMEU FIM,ROMEU FIM
Provisão,PROVISAO,,TOPAZIO INFRA,TOPAZIO INFRA
BBASB264,BBASB264,,MINAS DIVIDENDOS FIA,MINAS DIVIDENDOS FIA
ALOSB33,ALOSB33,,MINAS DIVIDENDOS FIA,MINAS DIVIDENDOS FIA
IBOVX174,IBOVX174,,FIA MINAS,FIA MINAS
IBOVL290,IBOVL290,,FIA MINAS,FIA MINAS
IBOVL240,IBOVL240,,FIA MINAS,FIA MINAS
ITSAB157,ITSAB157,,MINAS DIVIDENDOS FIA,MINAS DIVIDENDOS FIA
LFSN250093T,LFSN250093T,LFSN250093T,FIRF GERAES,FIRF GERAES
LFSN250093T,LFSN250093T,LFSN250093T,FIRF GERAES 30,FIRF GERAES 30
LFSN250093T,LFSN250093T,LFSN250093T,HORIZONTE FIM,HORIZONTE FIM
LFSN1900008,LFSN1900008,LFSN1900008,FIRF GERAES,FIRF GERAES
LFSN1800HXO,LFSN1800HXO,LFSN1800HXO,FIRF GERAES,FIRF GERAES
LFSN1800D4X,LFSN1800D4X,LFSN1800D4X,FIRF GERAES,FIRF GERAES
