TIPO,Tem_fluxo,CicloJuros,AgendaJuros,IncorporaJuros,DataRef,Emissor,cod_Ativo,Codigo_IF,ISIN,Data Emissão,vencimento,PU_emissão,TipoJuros,pct_flutuante,spread,FormaCDI,taxa_emissão,Data_prox_juros,Data Call Inicial,Call_Periodicidade,Call_Inicio_Apos_anos,Data Call Proxima,source_file,pages_total,pages_blank,pages_used,extractor_used,leitura_ok,sanity_check,sanity_notes,debug_bloco_juros,debug_bloco_call,cod_Ativo_count,is_unico,cod_Ativo_group_index,unico_index,Data Proximo Juros,cod_Ativo_norm,cod_root
,BULLET,BULLET,,DESCONHECIDO,2026-07-01,,22L1125977,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\cri cra\22L1125977.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,292,291,,22L1125977,22L1125977
,BULLET,BULLET,,DESCONHECIDO,2026-07-01,,2887218AUT - Fidc Automotivo,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\fundos\2887218AUT - Fidc Automotivo.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,366,365,,2887218AUTFIDCAUTOMOTIVO,2887218AUTFIDCAUTOMOTIV
,BULLET,BULLET,,DESCONHECIDO,2026-07-01,,4019021SN1 (Fidc Sumup Senior),,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\fundos\4019021SN1 (Fidc Sumup Senior).pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,379,378,,4019021SN1FIDCSUMUPSENIOR,4019021SN1FIDCSUMUPSENIO
,BULLET,BULLET,,DESCONHECIDO,2026-07-01,,5429725SN6 (Paketá SR6),,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\fundos\5429725SN6 (Paketá SR6).pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,389,388,,5429725SN6PAKETASR6,5429725SN6PAKETASR6
,BULLET,BULLET,,DESCONHECIDO,2026-07-01,,6324325SN1 (Fidc ER 2030),,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\fundos\6324325SN1 (Fidc ER 2030).pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,399,398,,6324325SN1FIDCER2030,6324325SN1FIDCER2030
,BULLET,BULLET,,DESCONHECIDO,2026-07-01,,6496225MZ1 - FIDC Oriz Mezanino,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\fundos\6496225MZ1 - FIDC Oriz Mezanino.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,400,399,,6496225MZ1FIDCORIZMEZANINO,6496225MZ1FIDCORIZMEZANIN
,BULLET,BULLET,,DESCONHECIDO,2026-07-01,,6496225SN1 - FIDC Oriz Senior,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\fundos\6496225SN1 - FIDC Oriz Senior.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,401,400,,6496225SN1FIDCORIZSENIOR,6496225SN1FIDCORIZSENIO
,BULLET,BULLET,,DESCONHECIDO,2026-07-01,,AGSF13,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\AGSF13.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,414,413,,AGSF13,AGSF13
,BULLET,BULLET,,DESCONHECIDO,2026-07-01,,CEROA3,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\CEROA3.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,843,842,,CEROA3,CEROA3
,BULLET,BULLET,,DESCONHECIDO,2026-07-01,,CERT11,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\CERT11.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,844,843,,CERT11,CERT11
,BULLET,BULLET,,DESCONHECIDO,2026-07-01,,CHSF12,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\CHSF12.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,851,850,,CHSF12,CHSF12
,BULLET,BULLET,,DESCONHECIDO,2026-07-01,,CMDT33,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\CMDT33.pdf,1,0,1,debug_text,True,FAIL,"missing: tipo,emissor,datas",,,1,True,853,852,,CMDT33,CMDT33
,BULLET,BULLET,,DESCONHECIDO,2026-07-01,,CRNP11,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\CRNP11.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,868,867,,CRNP11,CRNP11
,BULLET,BULLET,,DESCONHECIDO,2026-07-01,,LAMEA2,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\LAMEA2.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,936,935,,LAMEA2,LAMEA2
,BULLET,BULLET,,DESCONHECIDO,2026-07-01,,LCAMA5,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\LCAMA5.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,940,939,,LCAMA5,LCAMA5
,BULLET,BULLET,,DESCONHECIDO,2026-07-01,,MOVI22,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\MOVI22.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,1366,1364,,MOVI22,MOVI22
,BULLET,BULLET,,DESCONHECIDO,2026-07-01,,NATU17,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\NATU17.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,1383,1381,,NATU17,NATU17
